,CUSTOMER,Parameter.BondType,Parameter.Group,Parameter.No,Parameter.No_1,WIRE_SIZE,Parameter.Max,Parameter.Min,Parameter.Value,MEANX,PRED
87,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.015366662067393
88,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.064872182354684
89,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.11622275474769
90,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.015366662067393
91,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.070368158845643
92,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.064872182354684
93,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.11622275474769
94,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.015366662067393
95,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.064872182354684
96,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.070368158845643
97,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.11622275474769
98,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.015366662067393
99,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.064872182354684
100,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.070368158845643
101,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.11622275474769
102,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.015366662067393
103,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,18.124000000000002,23.064872182354684
104,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.070368158845643
105,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.11622275474769
106,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.015366662067393
107,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.298000000000002,23.064872182354684
108,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.064872182354684
109,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.070368158845643
110,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.11622275474769
111,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.015366662067393
112,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.070368158845643
113,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.015366662067393
114,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.064872182354684
115,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.11622275474769
116,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.064872182354684
117,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.070368158845643
118,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.11622275474769
119,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.015366662067393
120,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.064872182354684
121,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.070368158845643
122,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.11622275474769
123,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.015366662067393
124,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.064872182354684
125,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.070368158845643
126,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.11622275474769
127,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.015366662067393
128,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.064872182354684
129,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.070368158845643
130,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.11622275474769
131,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.015366662067393
132,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.070368158845643
133,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.11622275474769
134,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.015366662067393
135,STM,BSOB Ball,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,25.09,23.064872182354684
136,STM,BSOB Wire,3002,3,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.070368158845643
137,STM,Normal Wire,3002,1,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.11622275474769
138,STM,BSOB Wire,3002,2,Release,0.6 MIL GMG TYPE,0,0,0,23.968000000000004,23.015366662067393
